"name","ratings","unweighted"
"Cool Hand Luke",8.1,8.1
"The Sound of Music",8.1,8.1
"Pather Panchali",8.2,8.2
"It Happened One Night",8.1,8
"The Iron Giant",8.1,8.1
"The Help",8.1,8.1
"The 400 Blows",8.1,7.9
"Persona",8.1,8
"Life of Brian",8,8
"Aladdin",8,8.1
"Drishyam",8.2,8.4
